n_nodes,n_clusters,pure_nodes_number,rho,seed,method,matrix,error
1000,3,3,0.6,4,SPOC_bootstrap,Theta,0.0908035489271
1000,3,3,0.6,4,SPOC_bootstrap,B,0.648004274197
1000,3,3,0.6,4,SPOC,Theta,0.117052413896
1000,3,3,0.6,4,SPOC,B,0.442062671037
1000,3,3,0.6,4,GeoNMF,Theta,0.0850112863355
1000,3,3,0.6,4,GeoNMF,B,0.705167571755
1000,3,3,0.6,5,SPOC_bootstrap,Theta,0.0994746770737
1000,3,3,0.6,5,SPOC_bootstrap,B,0.73821627864
1000,3,3,0.6,5,SPOC,Theta,0.120322324271
1000,3,3,0.6,5,SPOC,B,0.472743236756
1000,3,3,0.6,5,GeoNMF,Theta,0.0843357708778
1000,3,3,0.6,5,GeoNMF,B,0.716089110829
1000,3,3,0.6,6,SPOC_bootstrap,Theta,0.0936412098986
1000,3,3,0.6,6,SPOC_bootstrap,B,0.708364567319
1000,3,3,0.6,6,SPOC,Theta,0.116236776222
1000,3,3,0.6,6,SPOC,B,0.42089979474
1000,3,3,0.6,6,GeoNMF,Theta,0.0838501109321
1000,3,3,0.6,6,GeoNMF,B,0.68442674162
1000,3,3,0.6,7,SPOC_bootstrap,Theta,0.0827541109051
1000,3,3,0.6,7,SPOC_bootstrap,B,0.71092102137
1000,3,3,0.6,7,SPOC,Theta,0.11210669189
1000,3,3,0.6,7,SPOC,B,0.419487087665
1000,3,3,0.6,7,GeoNMF,Theta,0.0710126840122
1000,3,3,0.6,7,GeoNMF,B,0.700333577798
1000,3,3,0.6,8,SPOC_bootstrap,Theta,0.0855126097444
1000,3,3,0.6,8,SPOC_bootstrap,B,0.710512488396
1000,3,3,0.6,8,SPOC,Theta,0.119234965411
1000,3,3,0.6,8,SPOC,B,0.400337617534
1000,3,3,0.6,8,GeoNMF,Theta,0.0782472028397
1000,3,3,0.6,8,GeoNMF,B,0.628461483394
1000,3,3,0.6,9,SPOC_bootstrap,Theta,0.0845507969299
1000,3,3,0.6,9,SPOC_bootstrap,B,0.727053051497
1000,3,3,0.6,9,SPOC,Theta,0.106229049631
1000,3,3,0.6,9,SPOC,B,0.441747009972
1000,3,3,0.6,9,GeoNMF,Theta,0.0813072300573
1000,3,3,0.6,9,GeoNMF,B,0.699307485388
1000,3,3,0.7,0,SPOC_bootstrap,Theta,0.0748137529838
1000,3,3,0.7,0,SPOC_bootstrap,B,0.480429235353
1000,3,3,0.7,0,SPOC,Theta,0.103980195472
1000,3,3,0.7,0,SPOC,B,0.275614947212
1000,3,3,0.7,0,GeoNMF,Theta,0.0756474340126
1000,3,3,0.7,0,GeoNMF,B,0.575564837115
1000,3,3,0.7,1,SPOC_bootstrap,Theta,0.0720626666044
