n_nodes,n_clusters,pure_nodes_number,alpha,seed,method,matrix,error
1000,3,3,3.5,5,bootstrap_SPA,B,0.383768790981
1000,3,3,3.5,6,Geo_NMF,Theta,0.177046154222
1000,3,3,3.5,6,Geo_NMF,B,0.121389625307
1000,3,3,3.5,6,basic_SPA,Theta,0.169828243467
1000,3,3,3.5,6,basic_SPA,B,0.186119613799
1000,3,3,3.5,6,bootstrap_SPA,Theta,0.223414540715
1000,3,3,3.5,6,bootstrap_SPA,B,0.394847353493
1000,3,3,3.5,7,Geo_NMF,Theta,0.194387025422
1000,3,3,3.5,7,Geo_NMF,B,0.24647179295
1000,3,3,3.5,7,basic_SPA,Theta,0.318993404242
1000,3,3,3.5,7,basic_SPA,B,0.42827099873
1000,3,3,3.5,7,bootstrap_SPA,Theta,0.372242125426
1000,3,3,3.5,7,bootstrap_SPA,B,0.530804457324
1000,3,3,3.5,8,Geo_NMF,Theta,0.194800442624
1000,3,3,3.5,8,Geo_NMF,B,0.090637056998
1000,3,3,3.5,8,basic_SPA,Theta,0.188921524401
1000,3,3,3.5,8,basic_SPA,B,0.148094009117
1000,3,3,3.5,8,bootstrap_SPA,Theta,0.191345345043
1000,3,3,3.5,8,bootstrap_SPA,B,0.196130591886
1000,3,3,3.5,9,Geo_NMF,Theta,0.174742989215
1000,3,3,3.5,9,Geo_NMF,B,0.0988854529858
1000,3,3,3.5,9,basic_SPA,Theta,0.175146016899
1000,3,3,3.5,9,basic_SPA,B,0.160592873354
1000,3,3,3.5,9,bootstrap_SPA,Theta,0.182517732943
1000,3,3,3.5,9,bootstrap_SPA,B,0.183934650832
1000,3,3,4.0,0,Geo_NMF,Theta,0.185011023606
1000,3,3,4.0,0,Geo_NMF,B,0.138866416001
1000,3,3,4.0,0,basic_SPA,Theta,0.200777601585
1000,3,3,4.0,0,basic_SPA,B,0.243803682987
1000,3,3,4.0,0,bootstrap_SPA,Theta,0.218984668323
1000,3,3,4.0,0,bootstrap_SPA,B,0.243817170024
1000,3,3,4.0,1,Geo_NMF,Theta,0.196943187023
1000,3,3,4.0,1,Geo_NMF,B,0.206290094015
1000,3,3,4.0,1,basic_SPA,Theta,0.183414069331
1000,3,3,4.0,1,basic_SPA,B,0.243989011178
1000,3,3,4.0,1,bootstrap_SPA,Theta,0.222928967991
1000,3,3,4.0,1,bootstrap_SPA,B,0.374160182536
1000,3,3,4.0,2,Geo_NMF,Theta,0.197213201087
1000,3,3,4.0,2,Geo_NMF,B,0.174085529229
1000,3,3,4.0,2,basic_SPA,Theta,0.244752822323
1000,3,3,4.0,2,basic_SPA,B,0.19115384923
1000,3,3,4.0,2,bootstrap_SPA,Theta,0.239285702657
1000,3,3,4.0,2,bootstrap_SPA,B,0.340339908957
