n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.25,5,basic_SPA,Theta,0.850670208064
1000,3,3,0.25,5,basic_SPA,B,0.907650307116
1000,3,3,0.25,5,bootstrap_SPA,Theta,0.925050033328
1000,3,3,0.25,5,bootstrap_SPA,B,0.571155137055
1000,3,3,0.25,6,Geo_NMF,Theta,0.82416926343
1000,3,3,0.25,6,Geo_NMF,B,0.958197640519
1000,3,3,0.25,6,basic_SPA,Theta,0.806060616161
1000,3,3,0.25,6,basic_SPA,B,0.968329805928
1000,3,3,0.25,6,bootstrap_SPA,Theta,0.872337793894
1000,3,3,0.25,6,bootstrap_SPA,B,0.64990861799
1000,3,3,0.25,7,Geo_NMF,Theta,0.994275379441
1000,3,3,0.25,7,Geo_NMF,B,0.715361331191
1000,3,3,0.25,7,basic_SPA,Theta,0.82974884689
1000,3,3,0.25,7,basic_SPA,B,0.910277901553
1000,3,3,0.25,7,bootstrap_SPA,Theta,0.901122969533
1000,3,3,0.25,7,bootstrap_SPA,B,0.614507595338
1000,3,3,0.25,8,Geo_NMF,Theta,0.82136056181
1000,3,3,0.25,8,Geo_NMF,B,1.05210525283
1000,3,3,0.25,8,basic_SPA,Theta,0.807299909095
1000,3,3,0.25,8,basic_SPA,B,0.99016258393
1000,3,3,0.25,8,bootstrap_SPA,Theta,0.873930667892
1000,3,3,0.25,8,bootstrap_SPA,B,0.656112908749
1000,3,3,0.25,9,Geo_NMF,Theta,0.844656848029
1000,3,3,0.25,9,Geo_NMF,B,0.838078164969
1000,3,3,0.25,9,basic_SPA,Theta,0.832999451104
1000,3,3,0.25,9,basic_SPA,B,0.944646482257
1000,3,3,0.25,9,bootstrap_SPA,Theta,0.896700863699
1000,3,3,0.25,9,bootstrap_SPA,B,0.751036627783
1000,3,3,0.3,0,Geo_NMF,Theta,0.815685644124
1000,3,3,0.3,0,Geo_NMF,B,1.08167914778
1000,3,3,0.3,0,basic_SPA,Theta,0.805444620513
1000,3,3,0.3,0,basic_SPA,B,1.0718143012
1000,3,3,0.3,0,bootstrap_SPA,Theta,0.880238764663
1000,3,3,0.3,0,bootstrap_SPA,B,0.686972913945
1000,3,3,0.3,1,Geo_NMF,Theta,0.835306154893
1000,3,3,0.3,1,Geo_NMF,B,0.947863679886
1000,3,3,0.3,1,basic_SPA,Theta,0.832309572583
1000,3,3,0.3,1,basic_SPA,B,0.984630762728
1000,3,3,0.3,1,bootstrap_SPA,Theta,0.905171346145
1000,3,3,0.3,1,bootstrap_SPA,B,0.642172446843
1000,3,3,0.3,2,Geo_NMF,Theta,0.816985918021
1000,3,3,0.3,2,Geo_NMF,B,1.12780250729
1000,3,3,0.3,2,basic_SPA,Theta,0.80989053566
1000,3,3,0.3,2,basic_SPA,B,1.13254318938
1000,3,3,0.3,2,bootstrap_SPA,Theta,0.871747665183
1000,3,3,0.3,2,bootstrap_SPA,B,0.761823869836
1000,3,3,0.3,3,Geo_NMF,Theta,0.832257634512
1000,3,3,0.3,3,Geo_NMF,B,1.07480410895
1000,3,3,0.3,3,basic_SPA,Theta,0.824792430543
1000,3,3,0.3,3,basic_SPA,B,1.06644073756
1000,3,3,0.3,3,bootstrap_SPA,Theta,0.884680090785
1000,3,3,0.3,3,bootstrap_SPA,B,0.732031796801
1000,3,3,0.3,4,Geo_NMF,Theta,0.863137152366
1000,3,3,0.3,4,Geo_NMF,B,0.93839658266
1000,3,3,0.3,4,basic_SPA,Theta,0.816717172334
1000,3,3,0.3,4,basic_SPA,B,0.970727660885
1000,3,3,0.3,4,bootstrap_SPA,Theta,0.891499979403
1000,3,3,0.3,4,bootstrap_SPA,B,0.664035676586
1000,3,3,0.3,5,Geo_NMF,Theta,0.805070126295
1000,3,3,0.3,5,Geo_NMF,B,1.21487691035
1000,3,3,0.3,5,basic_SPA,Theta,0.797563811838
1000,3,3,0.3,5,basic_SPA,B,1.15250299822
1000,3,3,0.3,5,bootstrap_SPA,Theta,0.862420444303
1000,3,3,0.3,5,bootstrap_SPA,B,0.734884195352
1000,3,3,0.3,6,Geo_NMF,Theta,0.828198655975
1000,3,3,0.3,6,Geo_NMF,B,1.1172210555
1000,3,3,0.3,6,basic_SPA,Theta,0.818962804368
1000,3,3,0.3,6,basic_SPA,B,1.05344296853
1000,3,3,0.3,6,bootstrap_SPA,Theta,0.887669058512
1000,3,3,0.3,6,bootstrap_SPA,B,0.696582606467
1000,3,3,0.3,7,Geo_NMF,Theta,0.835047035656
1000,3,3,0.3,7,Geo_NMF,B,1.04061705355
1000,3,3,0.3,7,basic_SPA,Theta,0.821146044712
1000,3,3,0.3,7,basic_SPA,B,1.00216169884
1000,3,3,0.3,7,bootstrap_SPA,Theta,0.905541435865
1000,3,3,0.3,7,bootstrap_SPA,B,0.651739799289
1000,3,3,0.3,8,Geo_NMF,Theta,0.829706074235
1000,3,3,0.3,8,Geo_NMF,B,1.11465096776
1000,3,3,0.3,8,basic_SPA,Theta,0.822467334262
1000,3,3,0.3,8,basic_SPA,B,1.08315875751
1000,3,3,0.3,8,bootstrap_SPA,Theta,0.882977929893
1000,3,3,0.3,8,bootstrap_SPA,B,0.716062372379
1000,3,3,0.3,9,Geo_NMF,Theta,0.840095100363
1000,3,3,0.3,9,Geo_NMF,B,1.1986616123
1000,3,3,0.3,9,basic_SPA,Theta,0.814716271148
1000,3,3,0.3,9,basic_SPA,B,1.09991993834
1000,3,3,0.3,9,bootstrap_SPA,Theta,0.876239209444
1000,3,3,0.3,9,bootstrap_SPA,B,0.723248203033
1000,3,3,0.35,0,Geo_NMF,Theta,0.812828297734
1000,3,3,0.35,0,Geo_NMF,B,1.11465148965
1000,3,3,0.35,0,basic_SPA,Theta,0.826037746601
1000,3,3,0.35,0,basic_SPA,B,1.11009400533
1000,3,3,0.35,0,bootstrap_SPA,Theta,0.90146660973
1000,3,3,0.35,0,bootstrap_SPA,B,0.747585082422
1000,3,3,0.35,1,Geo_NMF,Theta,0.818311384296
1000,3,3,0.35,1,Geo_NMF,B,1.3113959811
1000,3,3,0.35,1,basic_SPA,Theta,0.81861425918
1000,3,3,0.35,1,basic_SPA,B,1.21393701868
1000,3,3,0.35,1,bootstrap_SPA,Theta,0.890854868353
